text,label
"ki sā, ра dī dišā́d čiz sifö́d",A
"yā γaδā́ xu šamšḗr ar uf köl wī́δd-at, sōnt",B
"tū wal kaš-kaš xác-at zōx̌t xu, yakbṓraθat um kā́l-tör garδṓn, yā́-ti daδ mīrd",A
um mardīnā́ pūx̆ṓk panáwd,B
"ik wī dawrā munum kuzā avūg xu baǰoyum cā čūg yi sūwor piδo suǰ vud. dis gumon kinum dī wīnt az mun. yā ti arrāng vāwd di potx̌ori xabar δet. yed ik das kinum, dī xubaθ ayosum potx̌ori siporum xu az wī azob xalos sāwum. tu čīz luv? pawst az xu ɣan deqon. wī ɣan luvd: bašānd. yu xu ɣanri luvd: xay tu az dim kuzā yi bašand ǰoyinder ba ǰoy kinat az x̌oǰ xalos kinum xu daδum yat.",A
mun virṓ(d) sawōrā́ nawžö́d,B
"šamšḗr zōx̌t xu, δōd ar um kāl",A
"ēy xu, ā́z-um dásaθ mānd саwaxt tarū yac?",B
tō tūd čux̆mák čēgṓw-ri yi mōst digḗr rīǰ,A
"dī́ mōbáyn δus sōl nawžṓd di, pid az dī ranö́x̌č",B
xú-ri mālā́ wirö́x̌č,A
yā dēw vō az Sinawbā́r bēkṓr kix̌t,B
padum naxṓ lap naxčī́r-ī!,A
yid mún-tör ōšíq vud,B
"yim istṓl ik-dṓnd xax̆ yast di, íčaθ na virā́wd",A
par dim γalbī́r x̆ac tāž,B
"yā x̌arpö́ǰ yat xu, ar wī bat indī́δd",A
yi сēm xúyā mā́š-ri dāk,B
az mún-an pōdx̌ṓ pay čēg,A
"уā awálaθ lōšā́ vud, amō tar ōxír-ri ba-quwwát sut",B
x̆ac az raδṓn-indēr zōx̆t,A
"az dim хас birṓz-at, az mim mā birṓz",B
az um kalták qalám δṓǰ-at xabár na suǰ,A
ik-dim mī́θ-indēr,B
āz tā pas-pāláw níθum,A
tarḗd-an mis uf sūr parčḗmt,B
"tar хu pöδ suǰ di, yi xūrn arúm ingíxc",A
mun biǰā́w araq čūǰ,B
yakbṓraθ um kā́l-tör garδṓn.,A
az vurút-tör naōlī́ǰ kīpt,B
"az um činṓr talḗpt, talḗpt-at, avū́g",A
xu kúd-ri awqṓt kix̌t,B
yī́w-aθ rayst k-ā ɣulā́ dēw,A
"yidá, puc, ca lúvd-um tā-r",B
par mī ta rū́čka nivištṓw na bīft,A
уа γaδā́ ar um γalbī́rā ar um kawö́j δōd ǰul,B
xu šart mú-ri mis luv,A
yā́ wī́ ɣ̌an pay mēgák,B
"ar zindon darūn deqon ayron sud dī oxir munum kuzā tilo qatī avūg. xu ingax̌t qati um kuzāyi um šaklat gulayi nix̌on δod. daδi luvd, xu yo tavbā yim čīz xabar sut, yim čīz sir. zindonbon pas divör kawöǰaθ kaz dī dond korҳoi deqon wīnt xo daδ potx̌ori luvd: potx̌o farmon δod di dêqon tar wī xīz vāran. deqonaf vūg, potx̌o az wī pāwst: e ablā, ar zindonat čīz bidarakaθ xu ingax̌t qatī aqorat čūg, yā čīz vud, čīzri das kin. rostaθ luv. aga nā zanan as tā. deqon luvd: potx̌oyi meribon munā yi x̌acbirazöǰ kuzā. zamīn raδān töraθ rīd. az munaf arūd band čūg. az mun kuzā agar cacifan, azunder xalos sāwumat xu kuzā az duzd čöd inder viriyumat yā ca nadakix̌t, az tar qozī xīz sām, xu arz kinum.",A
yā mūysafḗd azḗnder-i luvd...,B
"nū́raf δaw xawríč δēd čū xu, wī ӡuldö́r x̆ikást xū",A
yid tā puc pōnd-tayṓč sut,B
tā́-rang xušrū́y γāc,A
yid tamā́š ōx̆nṓ-yō?,B
yā az uf δardö́r suč,A
Murqōdī́ xúbaθ xu ɣ̌án-ǰō žōvwix̌ḗӡ parǰī́vd,B
"mu markā́b-tör-at di δaw tōv žöz vḗg-at vār-δōd, wál-ti mú-ri xizmát čēgṓw vār-δī",A
"tarum firept xu yi boloxonā inder iǰorā nöst. dāδ yid yi dalolā zan ziv δed čūg xu tar sipoyā wī ɣan xīz abox̌t. yid dalolā tar sipoyā tar wi ɣan xīz sat xu, dī ɣaδāyā dī xabar umri δöd. yilāv tārif az dī čūg. luvdi: yi šaxs tar mi māš wiloyat yač dī yā tā tör ošiq suǰ. wiyā dawlati bisyor, yi x̌āb as wi tar xu xīz lākat yā tār molat dunyo dākix̌t. dim dāδ luvdi: tar mu xīz az wī rimi agar yā mūr xuš ca yoδd az kaz dī kor wī qati kinum. yā dalolā bād kaz dī ǰiwon tar dim xīz verd. yid kaxwoy tar dī luvd dī kaz dim ɣanik azu man δār kindi yid māš sir foš mākix̌t, dī mis luvd dī azum az dim sipoyā wī ɣan wīntat yid mūr čandon xuš nayat, az dimum to wīntat mun dil biǰo sut. az dī dimri luvd xu az dim ǰiwob δāδ. yid dī toyd tu sā xu asbobat anǰom fukaθ zoz xu yed tar mun xīz xu digar ar waxtacat ca mun qatī vaw. yid bād kaz dim ɣāc qabūl kix̌t xu sāwd pas xu wezat wilom.",B
