source,license,used,changes
raw_corpus/sentence_1577.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1731.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3182.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0527.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1507.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0010.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2489.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3533.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1616.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3930.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1773.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0630.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0050.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4195.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3177.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3676.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1886.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0133.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0277.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1312.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4174.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1549.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6443.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4378.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2298.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2126.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4222.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1432.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0096.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5172.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5369.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6331.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1009.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0304.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4511.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5277.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0939.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3545.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4060.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3420.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5524.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5179.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3460.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1092.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5539.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1451.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6261.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6055.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3980.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4692.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5503.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2772.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0642.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0794.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1372.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4654.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0731.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6280.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1641.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0036.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2861.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1644.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3804.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5466.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1474.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0925.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0380.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1156.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6056.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5433.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5119.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2405.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0902.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1859.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4507.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0138.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2807.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1936.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1775.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_6263.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1064.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3518.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2076.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2392.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1904.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1284.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_2600.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_4795.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5710.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3708.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3748.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5126.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_0530.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_5469.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_3117.txt,UNKNOWN,texts,"normalize, dedup"
raw_corpus/sentence_1305.txt,UNKNOWN,texts,"normalize, dedup"
